intent_name,examples,label
procedimiento_tramites_fechas,cuando ya puedo presentar la solicitud,5
procedimiento_tramites_fechas,hasta cuando puedo presentarlo,5
procedimiento_tramites_fechas,la siguiente semana puedo enviar la solicitud,5
procedimiento_tramites_fechas,todavia puedo presentarle,5
procedimiento_tramites_fechas,esta semana ya puedo tramitarlo,5
procedimiento_tramites_fechas,¿cuando se presenta la solicitud?,5
procedimiento_tramites_fechas,cuando se habilita para realizar el tramite,5
procedimiento_tramites_fechas,hay alguna fecha limite para enviar esa solicitud,5
procedimiento_tramites_fechas,todavia puedo realizar este tramite,5
procedimiento_tramites_fechas,hasta cuando puedo enviar la solicitud,5
procedimiento_tramites_fechas,estamos en la sexta semana de clases todavia puedo solicitarlo,5
procedimiento_tramites_fechas,todavia puedo presentar mi solicitud,5
procedimiento_tramites_fechas,esta semana todavia puedo todavia solicitarlo,5
procedimiento_tramites_fechas,esta semana puedo enviar la solicitud,5
procedimiento_tramites_fechas,ya va a terminar el ciclo esta semana todavia puedo pedirlo,5
procedimiento_tramites_fechas,cuando puedo realizarlo,5
procedimiento_tramites_fechas,hasta cuando puedo tramitarlo,5
procedimiento_tramites_fechas,en este momento ya puedo enviar la solicitud,5
procedimiento_tramites_fechas,en estas fechas todavia puedo realizar este procedimiento,5
procedimiento_tramites_fechas,cuando puedo enviar la solicitud,5
procedimiento_tramites_fechas,debo esperar para iniciar este tramite o ya lo puedo solicitarlo,5
procedimiento_tramites_fechas,hasta que fecha puedo presentar la solicitud,5
procedimiento_tramites_fechas,aun puedo enviar la solicitud o ya se paso las fechas?,5
procedimiento_tramites_fechas,recien me entero que esta semana ya comienza el ciclo todavia puedo enviar mi solicitud,5
procedimiento_tramites_fechas,hay alguna fecha limite para envviar esa soliciutd,5
procedimiento_tramites_fechas,esta wemana ya puedo tramitarlo,5
procedimiento_tramites_fechas,todavia uedo presentarle,5
procedimiento_tramites_fechas,en este momento ya puuedo enviarr la solicitud,5
procedimiento_tramites_fechas,la sigiiente semana puedo enviar la solisitud,5
procedimiento_tramites_fechas,en estas fechas todaviia puedo realisar este procedimiento,5
procedimiento_tramites_fechas,esta semnaa puedp enviar la solicitud,5
procedimiento_tramites_fechas,hasta cunado puedo presentarlo,5
procedimiento_tramites_fechas,cuando ya puedo presentwr la solisitud,5
procedimiento_tramites_fechas,hasta cuand puedo tramitarlo,5
procedimiento_tramites_fechas,hasta sue fecha pkedo presentar la solicitud,5
procedimiento_tramites_fechas,debo esperar para iniciar este tramite o ya lo pueddo olicitarlo,5
procedimiento_tramites_fechas,todavia pueedo realisar este tramite,5
procedimiento_tramites_fechas,hasta cuando puedo enviaag la solisitud,5
procedimiento_tramites_fechas,cuando pued realizarlo,5
denegar_mas_ayuda,es todo gracias,2
denegar_mas_ayuda,"no, gracias",2
denegar_mas_ayuda,"no eso seria todo, muchas gracias",2
denegar_mas_ayuda,"eso es todo, gracias",2
denegar_mas_ayuda,no muchas gracias,2
denegar_mas_ayuda,ninguna duda mas,2
denegar_mas_ayuda,eso fue todo gracias,2
denegar_mas_ayuda,nada mas,2
denegar_mas_ayuda,no ya no tengo mas consultas,2
denegar_mas_ayuda,nope,2
denegar_mas_ayuda,"por ahora eso es todo, gracias",2
denegar_mas_ayuda,"no, eso seria todo gracias",2
denegar_mas_ayuda,no gracias por la ayuda,2
denegar_mas_ayuda,no eso es todo gracias por la ayuda,2
denegar_mas_ayuda,no gracias,2
denegar_mas_ayuda,eso es todo por ahora aerito gracias,2
denegar_mas_ayuda,no eso es todo gracias,2
denegar_mas_ayuda,no es todo que tenga buen dia,2
denegar_mas_ayuda,no eso es todo,2
denegar_mas_ayuda,no gracias es todo,2
denegar_mas_ayuda,no nada mas gracias,2
denegar_mas_ayuda,es todo ggracias,2
denegar_mas_ayuda,no graciias es todo,2
denegar_mas_ayuda,"por ahora eso es todo , gracias",2
denegar_mas_ayuda,eso es todo por ahora aerito graciias,2
denegar_mas_ayuda,no nada mass gracias,2
denegar_mas_ayuda,"eso es todo , racias",2
denegar_mas_ayuda,no garcias,2
denegar_mas_ayuda,ninguna duad mas,2
denegar_mas_ayuda,no gracias por la yauda,2
denegar_mas_ayuda,no muchas graciaas,2
denegar_mas_ayuda,no es todo q tenga buen dia,2
denegar_mas_ayuda,no eso es todo garcias,2
denegar_mas_ayuda,no eso es todo,2
horario_atencion_aera,una consulta mas cual el horario de atencion presencial de estadística?,43
horario_atencion_aera,puede decirme cual es el horario de atencion de la oficina de estadistica?,43
horario_atencion_aera,aera atiende los sabados?,43
horario_atencion_aera,hasta que hora atienden en la oficina de estadistica?,43
horario_atencion_aera,puede decirme cual es el horario de atencion ?,43
horario_atencion_aera,que dias atiende estadistica?,43
horario_atencion_aera,que dias esta atendiendo la oficina de estadistica?,43
horario_atencion_aera,hasta que hora esta abierto la oficina de estadistica?,43
horario_atencion_aera,cual es el horario de atencion de estadistica?,43
horario_atencion_aera,a que hora hay atencion en la oficina de estadística,43
horario_atencion_aera,desde que hora esta abierto la oficina de estadistica?,43
horario_atencion_aera,cuales es el horario de atencion de la oficina de estadística ?,43
horario_atencion_aera,podria saber los horarios de atencion de la oficina de estadistica?,43
horario_atencion_aera,a apartir de que hora estan atendiento en la oficina de estadistica?,43
horario_atencion_aera,hasta que hora atiende la oficina de estadistica,43
horario_atencion_aera,¿cuál es el horario de aera?,43
horario_atencion_aera,a que hora abre la oficina de estadistica,43
horario_atencion_aera,ue daic esta atendiendo la oficina de estadistica ?,43
horario_atencion_aera,hasta que hora atkende la oficinx de estadistica,43
horario_atencion_aera,aaera atiende los sabados ?,43
horario_atencion_aera,a equ hora are la oficina de estadistica,43
horario_atencion_aera,¿ ciál es el horario de aera ?,43
horario_atencion_aera,puede decirme cual es el horrario de atension ?,43
horario_atencion_aera,hasta q hora esta habierto la oficina de estadistica ?,43
horario_atencion_aera,hasta q hora atienedn en la oficina de estadistica ?,43
horario_atencion_aera,pude decirme cual es el horario de atension de la ofcima de estadistica ?,43
horario_atencion_aera,desde q hora esta abierto la oicina de estadistica ?,43
horario_atencion_aera,a apartir de qeu ohrs estn atendiento en la oficina de estadistica ?,43
costo_tramite,cuanto cuesta el tramite,6
costo_tramite,si cuanto es el costo,6
costo_tramite,debo pagar algo?,6
costo_tramite,debo pagar algo por este tramite,6
costo_tramite,¿cuanto es el costo por el tramite?,6
costo_tramite,cuanto se tiene pagar para dicho tramite,6
costo_tramite,tiene algun costo?,6
costo_tramite,el tramite no tiene costo ?,6
costo_tramite,es gratis o tiene algun costo este tramite?,6
costo_tramite,cual es el precio para este tramite,6
costo_tramite,esto tiene algun costo,6
costo_tramite,cuanto debo pagar para el tramite?,6
costo_tramite,hay algun costo,6
costo_tramite,cuanto se tiene que pagar por el tramite?,6
costo_tramite,es gratis o tiene aalgun ocsto este tramite ?,6
costo_tramite,cuanto cuesta el tramiite,6
costo_tramite,xi cuanto es el costo,6
costo_tramite,cuanto deb paagar para el tramite ?,6
costo_tramite,debo pagsr algo ?,6
costo_tramite,cuaanto se tiene q pagar por el tramite ?,6
costo_tramite,hay algun cost,6
costo_tramite,tiene añgun costo ?,6
costo_tramite,cual es el prcio para este tramite,6
matricula_rezagada__procedimiento,como es el procedimiento para la matricula rezagada,17
matricula_rezagada__procedimiento,"buenas noches, que pasos debo seguir para la matricula rezagada",17
matricula_rezagada__procedimiento,"buenos dias, no pude matricularme en la fecha que me correspondía, cual es el procedimiento para rezagado",17
matricula_rezagada__procedimiento,debo pagar algo para que me habiliten la matricula rezagada,17
matricula_rezagada__procedimiento,que hago para que se me habilite el sistema de matricula por rezagado,17
matricula_rezagada__procedimiento,"hola, cual es procedimiento para matricularme por rezagada",17
matricula_rezagada__procedimiento,cuales son los requisitos para la matricula rezagada,17
matricula_rezagada__procedimiento,disculpa cual es procedimiento para poder matricularme por rezagado,17
matricula_rezagada__procedimiento,"hola, disculpe como realiza la matricula rezagada",17
matricula_rezagada__procedimiento,no pague mi autoseguro a tiempo y ahora me mandaraon a rezago como proceso,17
matricula_rezagada__procedimiento,"buenas, quiero saber como tramitar mi matricula rezagada",17
matricula_rezagada__procedimiento,como procedo con la matricula rezagada,17
matricula_rezagada__procedimiento,no pude matricularme y me han dicho que mi matricula paso a rezagado cuales son los pasos,17
matricula_rezagada__procedimiento,"hola, no pude matricularme y me dicen que pase a matricula rezagada que debo de hacer",17
matricula_rezagada__procedimiento,hola ayudame quiero saber como es el procedimiento para el pago de matricula rezagada,17
matricula_rezagada__procedimiento,ahora que mi matricula paso a rezagados que debo hacer no entiendo,17
matricula_rezagada__procedimiento,cuales son los requisitos para que me habiliten la matricula rezagada,17
matricula_rezagada__procedimiento,"buenas tardes, cual es procedimiento para habilitar mi matricula rezagada",17
matricula_rezagada__procedimiento,a quien solicito la matricula rezagada,17
matricula_rezagada__procedimiento,"buenas tardes, me dijeron que mi matricula paso a rezagada pero no se que debo hacer",17
matricula_rezagada__procedimiento,"buenas , quiero saber cmo tramitra mi matricula rszaada",17
matricula_rezagada__procedimiento,"hola , no pude matricularme y me diecn q paase a matricula resagada que debo de hacer",17
matricula_rezagada__procedimiento,cuales son los requisitos para que me habjliten la matricual rezagada,17
matricula_rezagada__procedimiento,debo pagar algo para q me habiliten la matricula resagada,17
matricula_rezagada__procedimiento,no pude matricuularme y me han icho que mi matricula paso a resagado cuales son los pasos,17
matricula_rezagada__procedimiento,ola ayudame quiero saber coml es el procedimiento para el pago de matricula rezagzda,17
matricula_rezagada__procedimiento,no pague mi auto-seguro a tiempo y aahora me mandxraon a rezago como proceso,17
matricula_rezagada__procedimiento,"buenas tareds , cual es prosedimiento para habilitar mi matricula resagada",17
matricula_rezagada__procedimiento,q hago para q se me habilite el sistema de matricula por resagado,17
matricula_rezagada__procedimiento,como es el procedimiento para la matrichla resagada,17
matricula_rezagada__procedimiento,cuales son los requisitos para la mattricula resagada,17
matricula_rezagada__procedimiento,"buenas tardes , me dijeron que mi matricula ppaso a rezagaad pero no se que debo haacer",17
matricula_procedimiento,como realizo mi matrícula,8
matricula_procedimiento,ya realize los pagos que me dijeron para la matricula debo enviar las boletas?,8
matricula_procedimiento,debo hacer algo para habilitar mi matricula,8
matricula_procedimiento,como es el proceso para la matricula,8
matricula_procedimiento,como habilito mi matricula,8
matricula_procedimiento,que proceso debo seguir para la matricularme,8
matricula_procedimiento,debo hacer alguna tramite para poder habilitar mi matricula?,8
matricula_procedimiento,hay algo que debo pagar para la matricula,8
matricula_procedimiento,ya pague el autoseguro hay algun otro paga por la matricula?,8
matricula_procedimiento,quiero saber si tengo que hacer algun tramite para matricular este ciclo,8
matricula_procedimiento,cuanto se paga por la matricula,8
matricula_procedimiento,debo realizar algun tramite para mi matricula este ciclo?,8
matricula_procedimiento,cuales son los pasos para matricularme en el siguiente ciclo,8
matricula_procedimiento,debo enviar el voucher del autoseguro para la matricula,8
matricula_procedimiento,como puedo matricularme este ciclo,8
matricula_procedimiento,hay algun pago para la matricula,8
matricula_procedimiento,¿cuál es proceso de matricula?,8
matricula_procedimiento,que pagos debo hacer para la matrícula,8
matricula_procedimiento,cuales son los pagos para realizar la matricula,8
matricula_procedimiento,omo peudo matricularme este ciclo,8
matricula_procedimiento,cuanto se pga por la matricula,8
matricula_procedimiento,q pagos debo acer para la matrícula,8
matricula_procedimiento,cuars son los pqsos para matricularme en el siguiente ciclo,8
matricula_procedimiento,como hbilito mi matricula,8
matricula_procedimiento,hay algun pago para la matricuula,8
matricula_procedimiento,debo nacer alguna tramiye para poder habiitar mi matricula ?,8
matricula_procedimiento,cuales son los pagos para realizra la matrjcula,8
matricula_procedimiento,ya reallize los pagos q me dijjeron para la matricula debo enviar las boletas ?,8
matricula_procedimiento,hay algo quee debo pgar para la matricula,8
matricula_procedimiento,como reaizo mi matrícula,8
matricula_procedimiento,ya pageu el auto seguro hay algun otro paga por la matricula ?,8
retiro_parcial__procedimiento,"buenos dias, ¿qué pasos debo seguir para el retiro parcial?",21
retiro_parcial__procedimiento,"hola, deseo realizar el retiro parcial de varios curso como procedo",21
retiro_parcial__procedimiento,"buenos dias, podría indicarme el procedimiento para realizar el retiro parcial para el presente ciclo?",21
retiro_parcial__procedimiento,"hola, deseo realizar el retiro parcial de un curso como procedo",21
retiro_parcial__procedimiento,"mande un correo a estadística pidiendo que me retire de un curso, pero aún figura en mi intranet",21
retiro_parcial__procedimiento,como procedo para hacer el retiro parcial ?,21
retiro_parcial__procedimiento,cual es el procedimiento del retiro parcial,21
retiro_parcial__procedimiento,"hola, mande un correo a estadística pidiendo que me retire de un curso, pero aún figura en mi intranet",21
retiro_parcial__procedimiento,"hola que tal, que procedimiento puedo seguir para realizar el retiro parcial?",21
retiro_parcial__procedimiento,cual es el procedimiento para realizar un retiro de un curso?,21
retiro_parcial__procedimiento,"hola amigo, puede decirme como realizar un retiro parcial ?",21
retiro_parcial__procedimiento,¿dónde encuentro un modelo de solicitud para el retiro parcial?,21
retiro_parcial__procedimiento,"buenas tardes, ¿cómo se tramita el retiro parcial?",21
retiro_parcial__procedimiento,"hola, estoy matriculado en 3 cursos y quiero salirme de uno",21
retiro_parcial__procedimiento,deseo realizar el retiro parcial de un curso como procedo,21
retiro_parcial__procedimiento,"hola, podría indicarme el procedimiento, para realizar el retiro parcial para el presente ciclo?",21
retiro_parcial__procedimiento,puede decirme como realizar un retiro parcial ?,21
retiro_parcial__procedimiento,"que tal una consulta lo que pasa es que por motivos de fuerza mayor quiero dejar de llevar un curso, ¿qué debo hacer?",21
retiro_parcial__procedimiento,como puedo solicitar el retiro parcial,21
retiro_parcial__procedimiento,debo presentar una carta a orce para retirarme de un curso?,21
retiro_parcial__procedimiento,"hola que tal, un consulta ¿cómo se inicia el trámite para el retiro parcial?",21
retiro_parcial__procedimiento,¿cómo se inicia el trámite para el retiro parcial?,21
retiro_parcial__procedimiento,como hago un retiro parcial,21
retiro_parcial__procedimiento,estoy matriculado en 3 cursos y quiero salirme de uno,21
retiro_parcial__procedimiento,deseo realizar el retiro paracial de varios curso como procedo,21
retiro_parcial__procedimiento,"buenas, me podría indicarme el procedimiento para realizar el retiro parcial para el presente ciclo?",21
retiro_parcial__procedimiento,"hola, como procedo para hacer el retiro parcial ?",21
retiro_parcial__procedimiento,"hola aerito, ¿dónde encuentro un modelo de solicitud para el retiro parcial?",21
retiro_parcial__procedimiento,me puede indicar cual es el procedimiento del retiro parcial,21
retiro_parcial__procedimiento,¿cómo me retiro de un curso?,21
retiro_parcial__procedimiento,"uqe tal una consulta lo q pasa es que por motivos de furrrza mayor quiero dejar de llevar un curso , ¿ que debo acer ?",21
retiro_parcial__procedimiento,puede deciirmw ccomo realizar un retiro parcial ?,21
retiro_parcial__procedimiento,¿ dóde encuentro un modelo de solciituc para el retiro parcial ?,21
retiro_parcial__procedimiento,"ola , estoy matriculado en 3 cursos y quiero salire de uno",21
retiro_parcial__procedimiento,estoy matriculado en 3 cuross y quiero salirme de uno,21
retiro_parcial__procedimiento,¿ como me retiro de un curso ?,21
retiro_parcial__procedimiento,"ola amigo , puede decirme como realisar un retiro pzrcial ?",21
retiro_parcial__procedimiento,"ola aerito , ¿ dónd encuentro un modelo de solisitud para el retiro parcial ?",21
retiro_parcial__procedimiento,desel realisar el retiro parcial de un curso como prosedo,21
retiro_parcial__procedimiento,"hoal que tal , q lrocediminto puedo seguir para realizar el retiro parcial ?",21
retiro_parcial__procedimiento,cual es el prosedimiento para realizar un rettirro de un curso ?,21
retiro_parcial__procedimiento,"hola q tal , un consulta ¿ cómo se inicia el tramite para el retiro pparcial ?",21
retiro_parcial__procedimiento,"hoa , mande un correo a estadistica pidiendoo q me retire de un curso , pero aún figura en mi intranet",21
retiro_parcial__procedimiento,"mola , deseo realisar el retiro parcial de un curso como proecdo",21
retiro_parcial__procedimiento,cual es el prosedimiento del rtrio parcial,21
retiro_parcial__procedimiento,como procedo para haceer el relro parcial ?,21
retiro_parcial__procedimiento,"hola , deseo realizar el retiro parciall de vaarios cursoo como procedo",21
retiro_parcial__procedimiento,como maog un retiro pardial,21
reserva_matricula__fechas,cual es la fecha para enviar la solicitud de reserva de matricula,30
reserva_matricula__fechas,aun puedo enviar la solicitud de reserva de matricula ?,30
reserva_matricula__fechas,esta semana todavia puedo solicitar mi reserva de matricula?,30
reserva_matricula__fechas,"la matricula ya va ser la siguiente semana pero no podre matricularme, aun puedo enviar mi solicitud de reserva de matricula",30
reserva_matricula__fechas,"este ciclo que esta por comenzar no me voy a matricular, me puedes decir cual es la fecha limite para enviar mi solicitud",30
reserva_matricula__fechas,"quiero hacer la reserva de matricula, hasta que dia puedo enviar la solicitud ?",30
reserva_matricula__fechas,hasta que fecha puedo subir la solicitud de reserva de matricula ?,30
reserva_matricula__fechas,hasta cuando puedo enviar la solicitud para reserva de matricula ?,30
reserva_matricula__fechas,"la matricula es mañana pero por motivos de fuerza he decido no matricularme, entiendo que debo reservar la matricula todavia  podria hacerlo?",30
reserva_matricula__fechas,la reserva de matricula tiene que enviarse antes de la matricula ?,30
reserva_matricula__fechas,hasta cuando puedo subir las solicitud la reserva de matricula en el sistema de internet ?,30
reserva_matricula__fechas,¿hasta cuándo tengo tiempo para presentar mi solicitud de reserva de matricula?,30
reserva_matricula__fechas,y hasta cuando podria enviar la solicitud de reserva de matricula ?,30
reserva_matricula__fechas,au puedo enviar la solisitud de reserva de matricula ?,30
reserva_matricula__fechas,"la matricula es mqñana pero por motivos de cuerza he decido no matricularme , entiendo q debo reserbar la matricula todavia  podria hacerlo ?",30
